sID,trial_number,trial_number_run,run,estimate1,confidence_rating,estimate2,estimate_peer,confidence_peer,estimate1_rt,confidence_rt,estimate2_rt,true_ratio,seen_ratio,nTotal,filler_trial,ITI,nMushrooms,nBlue,nRed
13,7,7,prac,25,2,34,43,2,6.78047401999993,2.019458019999547,15.8641910199995,0.375,0.4,5,0,2,1 1 1 1 1,1 0 0 0 1,0 1 1 1 0
13,8,8,prac,37,2,51,55,3,5.87997051999992,2.237036619999344,11.66222432,0.375,0.37777777777777777,45,0,1.6,9 9 9 9 9,2 3 4 3 5,7 6 5 6 4
13,9,9,prac,87,1,77,70,1,9.06240472000081,2.5202375199996823,12.0944083199984,0.625,0.6222222222222222,45,0,1.6,9 9 9 9 9,5 7 5 4 7,4 2 4 5 2
13,10,10,prac,55,2,63,70,2,10.3123182199997,1.6359415199995055,12.1555976199998,0.625,0.6,5,0,1.7,1 1 1 1 1,0 1 1 0 1,1 0 0 1 0
13,11,11,prac,95,3,95,77,1,7.74715011999888,1.919850120000774,5.5836419999996,0.875,0.8666666666666667,45,0,1.7,9 9 9 9 9,7 7 8 9 8,2 2 1 0 1
13,12,12,prac,55,1,70,73,3,11.3951310199991,4.119535720001295,7.62625462000051,0.625,0.6,5,0,1.6,1 1 1 1 1,1 0 1 1 0,0 1 0 0 1
13,13,13,prac,10,3,14,28,1,5.08056302000114,2.068945120000535,7.9972690200002,0.125,0.13333333333333333,45,0,1.8,9 9 9 9 9,2 2 0 1 1,7 7 9 8 8
13,14,14,prac,58,2,67,75,1,11.5285465199995,2.953631020001012,6.6950525200009,0.625,0.6,5,0,1.7,1 1 1 1 1,0 1 1 0 1,1 0 0 1 0
13,15,15,prac,100,3,100,99,3,4.06338731999949,2.7362281200003054,3.19675391999954,1,1,45,1,1.7,9 9 9 9 9,9 9 9 9 9,0 0 0 0 0
14,1,1,prac,20,3,10,3,3,5.11597224999991,1.8787445499999649,9.27654014999985,0.125,0.2,5,0,1.9,1 1 1 1 1,0 0 1 0 0,1 1 0 1 1
14,2,2,prac,10,3,15,25,2,9.08878904999983,2.332480750000286,5.10308129999999,0.125,0.13333333333333333,45,0,1.7,9 9 9 9 9,0 1 1 1 3,9 8 8 8 6
14,3,3,prac,40,3,30,24,3,9.38883364999992,1.9905822499997612,10.2990053499996,0.375,0.4,5,0,1.9,1 1 1 1 1,0 1 1 0 0,1 0 0 1 1
14,4,4,prac,100,3,99,99,3,3.17908705000036,1.6712934500005758,7.97953074999941,1,1,45,1,1.6,9 9 9 9 9,9 9 9 9 9,0 0 0 0 0
14,5,5,prac,80,2,90,97,3,10.32501525,2.313682549999612,8.31203060000007,0.875,0.8,5,0,2,1 1 1 1 1,1 1 0 1 1,0 0 1 0 0
14,6,6,prac,85,2,90,99,3,7.0934607500003,2.790868149999824,11.3577039000002,0.875,0.8666666666666667,45,0,1.6,9 9 9 9 9,8 7 8 8 8,1 2 1 1 1
14,7,7,prac,60,2,68,76,1,7.95532004999995,4.3162109499994585,9.51691590000019,0.625,0.6,5,0,1.9,1 1 1 1 1,0 1 0 1 1,1 0 1 0 0
14,8,8,prac,60,2,70,77,3,4.16314934999946,2.8494611500000246,6.79979504999983,0.625,0.6,5,0,1.8,1 1 1 1 1,0 1 0 1 1,1 0 1 0 0
14,9,9,prac,50,2,60,65,2,8.21862865000003,2.5823507499999323,8.91914955000038,0.625,0.6222222222222222,45,0,1.5,9 9 9 9 9,6 2 5 7 8,3 7 4 2 1
14,10,10,prac,60,2,70,76,2,5.4432089500001,1.407576450000306,11.0374915999996,0.625,0.6,5,0,1.8,1 1 1 1 1,1 0 0 1 1,0 1 1 0 0
14,11,11,prac,70,3,67,53,1,4.38476065000032,2.204963349999616,9.58275404999995,0.625,0.6222222222222222,45,0,1.6,9 9 9 9 9,3 4 6 7 8,6 5 3 2 1
14,12,12,prac,45,2,35,27,2,4.54309534999993,1.5574164499998915,12.8505388500002,0.375,0.37777777777777777,45,0,1.5,9 9 9 9 9,5 4 2 4 2,4 5 7 5 7
14,13,13,prac,55,2,63,72,3,3.93814394999981,1.5661717500001942,9.47552810000025,0.625,0.6222222222222222,45,0,1.8,9 9 9 9 9,6 5 6 7 4,3 4 3 2 5
14,14,14,prac,80,2,80,82,1,5.63916625000002,1.414181149999422,3.46846369999957,0.875,0.8,5,1,1.9,1 1 1 1 1,1 1 1 1 0,0 0 0 0 1
14,15,15,prac,40,2,41,42,2,10.2164030499998,1.7696806500002822,9.91182959999969,0.5,0.4,5,1,1.7,1 1 1 1 1,0 0 0 1 1,1 1 1 0 0
16,1,1,prac,70,1,65,54,2,6.97898032999956,2.2679335300003913,6.98319877999984,0.625,0.6,5,0,1.7,1 1 1 1 1,1 0 1 1 0,0 1 0 0 1
16,2,2,prac,60,2,65,75,2,5.66336132999959,2.4026093299999047,6.21648318000007,0.625,0.6222222222222222,45,0,1.8,9 9 9 9 9,6 2 7 5 8,3 7 2 4 1
16,3,3,prac,85,1,77,60,1,8.99686212999995,2.401980929999354,9.28372344999934,0.875,0.8,5,0,1.5,1 1 1 1 1,1 1 1 1 0,0 0 0 0 1
