sID,trial_number,trial_number_run,run,estimate1,estimate2,estimate_peer,confidence_peer,estimate1_rt,estimate2_rt,true_ratio,seen_ratio,nTotal,filler_trial,ITI,nMushrooms,nBlue,nRed,s,strategy,confidence_rating
6,4,4,1,91,89,75,3,5.3780279899983725,6.00182321999819,0.75,0.7555555555555555,45,0,4.8,9 9 9 9 9,7 8 7 4 8,2 1 2 5 1,0.125,compromise,2.4285714285714284
6,5,5,1,89,89,71,1,7.482423890000064,4.38967181999396,0.75,0.8,5,0,5.2,1 1 1 1 1,1 1 0 1 1,0 0 1 0 0,-0,stay,1
6,6,6,1,42,42,26,1,8.504958990000887,4.18731181999829,0.375,0.37777777777777777,45,0,4.2,9 9 9 9 9,4 3 3 3 4,5 6 6 6 5,-0,stay,2.4285714285714284
6,7,7,1,37,37,21,2,5.1368852899977355,6.94762022000214,0.375,0.37777777777777777,45,0,4.5,9 9 9 9 9,5 2 4 5 1,4 7 5 4 8,-0,stay,2.4285714285714284
6,8,8,1,88,80,70,2,4.267473489999247,4.57635472000038,0.75,0.8,5,0,4.1,1 1 1 1 1,1 1 1 1 0,0 0 0 0 1,0.4444444444444444,compromise,1
6,9,9,1,63,63,61,1,6.661624190001021,3.68683271999907,0.625,0.6,5,1,4.8,1 1 1 1 1,1 0 1 0 1,0 1 0 1 0,-0,stay,1
6,10,10,1,4,4,22,2,4.425782490001438,2.21532751999985,0.125,0.13333333333333333,45,0,5.9,9 9 9 9 9,2 1 0 1 2,7 8 9 8 7,0,stay,2.4285714285714284
6,11,11,1,17,17,15,2,5.761689689999912,4.36680961999809,0.375,0.37777777777777777,45,1,4.9,9 9 9 9 9,4 4 3 2 4,5 5 6 7 5,-0,stay,2.4285714285714284
6,12,12,1,97,97,96,3,3.7838814900023863,4.6886767199976,1,1,5,1,4.4,1 1 1 1 1,1 1 1 1 1,0 0 0 0 0,-0,stay,1
6,13,13,1,3,3,4,3,3.9111592900007963,1.76020031000007,0,0,5,1,4.5,1 1 1 1 1,0 0 0 0 0,1 1 1 1 1,0,stay,1
