sID,trial_number,trial_number_run,run,estimate1,estimate2,estimate_peer,confidence_peer,estimate1_rt,estimate2_rt,true_ratio,seen_ratio,nTotal,filler_trial,ITI,nMushrooms,nBlue,nRed,s,strategy,confidence_rating,alpha_5,alpha_45,theta_IC,theta_slope,staybias,perceived_blue,perceived_red,other_blue,other_red,stayBias_modulated,KLd
54,25,25,1,60,60,61,1,3.728479929999594,2.2266220099991187,0.625,0.6,5,1,5.1,1 1 1 1 1,0 1 0 1 1,1 0 1 0 0,0,stay,1,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,39.0543810765534,26.0362540510356,34.57694999715976,22.106574588348042,0.235613503548916,0.08188990464013755
54,26,1,2,68,71,83,2,6.549202570000489,11.1603008700004,0.75,0.7555555555555555,45,0,5.6,9 9 9 9 9,8 6 8 5 7,1 3 1 4 2,0.2,compromise,2.4285714285714284,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,97.53581365247813,45.899206424695585,92.64723498695199,18.9759396961227,0.05551372305459505,1.6382570632620854
54,27,2,2,71,67,25,2,8.478093470001113,4.89373948999855,0.75,0.7555555555555555,45,1,4.4,9 9 9 9 9,7 8 5 8 6,2 1 4 1 3,0.08695652173913043,compromise,2.4285714285714284,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,101.83886425479334,41.596155822380375,27.905793670768674,83.71738101230602,0.05551372305459505,12.002421020111093
54,28,3,2,20,28,37,1,4.599190670001917,7.82632658999864,0.25,0.2,5,0,4.3,1 1 1 1 1,0 0 0 1 0,1 1 1 0 1,0.4705882352941176,compromise,1,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,13.0181270255178,52.0725081020712,20.972904096637883,35.710620488869914,0.235613503548916,1.0952441334450305
54,29,4,2,80,79,63,2,15.548865870001464,3.99595569000121,0.25,0.24444444444444444,45,0,4.3,9 9 9 9 9,2 2 2 2 3,7 7 7 7 6,0.05882352941176471,compromise,2.4285714285714284,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,114.74801606173897,28.687004015434734,70.32260005033706,41.300574632737636,0.05551372305459505,2.1347169742105585
54,30,5,2,81,81,65,1,16.900467369998296,3.90934959000151,0.75,0.7555555555555555,45,0,6,9 9 9 9 9,8 9 5 6 6,1 0 4 3 3,-0,stay,2.4285714285714284,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,116.18236626251071,27.252653814662995,36.84429098058007,19.839233604927728,0.235613503548916,0.8539380926020429
54,31,6,2,40,26,25,3,4.583597269998791,7.5330110599989,0.375,0.4,5,0,5,1 1 1 1 1,0 1 0 0 1,1 0 1 1 0,0.9333333333333332,compromise,1,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,26.0362540510356,39.0543810765534,41.6407061951604,124.9221185854812,0.013079782783937371,2.037968917128705
54,32,7,2,40,32,25,1,4.971661469999162,8.71006119000231,0.375,0.4,5,0,4.9,1 1 1 1 1,0 1 1 0 0,1 0 0 1 1,0.5333333333333333,compromise,1,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,26.0362540510356,39.0543810765534,14.17088114637695,42.51264343913085,0.235613503548916,0.7855015418425111
54,33,8,2,80,50,17,2,3.9979455699995015,5.87142939000296,0.75,0.8,5,1,5.2,1 1 1 1 1,1 1 1 1 0,0 0 0 0 1,0.47619047619047616,compromise,1,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,52.0725081020712,13.018127025517796,18.9759396961227,92.64723498695199,0.05551372305459505,21.48872104112685
54,34,9,2,18,11,1,1,2.444141870000749,1.44437119000213,0.125,0.2,5,0,5.4,1 1 1 1 1,0 0 1 0 0,1 1 0 1 1,0.4117647058823529,compromise,1,13.0181270255178,3.18744489060386,56.6835245855078,54.9396500975669,0.235613503548916,11.716314322966019,53.37432080462298,0.5668352458550779,56.116689339652716,0.235613503548916,2.0029694429783405
